Pocket Set 1	Pocket Set 2	Pearson CC	pvalue
PDB-LIG	PDB-LIG	1.0	0.0
PDB-LIG	PDB-PD	0.8281	1.802223868232798e-33
PDB-LIG	AF2-LIG	0.9705	9.543562785382583e-80
PDB-LIG	AF2-PD	0.7797	2.1646634516076212e-27
PDB-PD	PDB-LIG	0.8281	1.802223868232798e-33
PDB-PD	PDB-PD	1.0	0.0
PDB-PD	AF2-LIG	0.8725	5.16836811756036e-41
PDB-PD	AF2-PD	0.991	7.6543682059993515e-112
AF2-LIG	PDB-LIG	0.9705	9.543562785382583e-80
AF2-LIG	PDB-PD	0.8725	5.16836811756036e-41
AF2-LIG	AF2-LIG	1.0	0.0
AF2-LIG	AF2-PD	0.831	6.809315219029867e-34
AF2-PD	PDB-LIG	0.7797	2.1646634516076212e-27
AF2-PD	PDB-PD	0.991	7.6543682059993515e-112
AF2-PD	AF2-LIG	0.831	6.809315219029867e-34
AF2-PD	AF2-PD	1.0	0.0
